"id","practice_type","practice_type_corrected","interest_foreign_lang","interest_swedish","number_languages","time_free_choice","retrieval_cycle1","retrieval_cycle2","final_test"
1,1,"retrieval",5,3,5.0,300.0,30.0,70.0,80.0
2,1,"retrieval",5,2,4.0,201.0,85.0,95.0,100.0
3,1,"retrieval",3,4,4.0,202.0,45.0,60.0,80.0
4,1,"retrieval",5,4,3.0,300.0,80.0,100.0,95.0
5,1,"retrieval",5,5,3.0,248.0,15.0,40.0,80.0
6,1,"retrieval",5,4,3.0,300.0,45.0,75.0,95.0
7,1,"retrieval",1,1,2.0,96.0,35.0,50.0,60.0
8,1,"retrieval",4,3,3.0,0.0,70.0,75.0,85.0
9,1,"retrieval",3,2,2.0,0.0,25.0,50.0,60.0
10,1,"retrieval",4,4,2.0,0.0,15.0,45.0,65.0
11,1,"retrieval",4,3,2.0,156.0,45.0,50.0,70.0
12,1,"retrieval",3,2,1.0,98.0,70.0,90.0,100.0
13,1,"retrieval",1,2,1.0,0.0,20.0,55.00000000000001,65.0
14,1,"retrieval",3,5,3.0,197.0,65.0,85.0,90.0
15,1,"retrieval",2,2,1.0,0.0,30.0,70.0,85.0
16,1,"retrieval",3,3,1.0,150.0,35.0,75.0,90.0
17,1,"retrieval",3,2,3.0,0.0,30.0,60.0,75.0
18,1,"retrieval",3,3,2.0,0.0,45.0,65.0,80.0
19,1,"retrieval",3,4,2.0,192.0,20.0,40.0,75.0
20,1,"retrieval",2,3,1.0,204.0,55.00000000000001,70.0,85.0
21,2,"restudy",2,4,3.0,64.0,,,85.0
22,2,"restudy",4,2,3.0,0.0,,,60.0
23,2,"restudy",2,4,1.0,0.0,,,60.0
24,2,"restudy",3,3,1.0,166.0,,,70.0
25,2,"restudy",1,2,1.0,0.0,,,50.0
26,2,"restudy",3,3,2.0,13.0,,,60.0
27,2,"restudy",4,5,3.0,162.0,,,55.00000000000001
28,2,"restudy",4,3,4.0,300.0,,,100.0
29,2,"restudy",4,2,4.0,0.0,,,35.0
30,2,"restudy",2,1,1.0,170.0,,,85.0
31,2,"restudy",3,4,2.0,0.0,,,45.0
32,2,"restudy",5,2,2.0,151.0,,,90.0
33,2,"restudy",4,3,3.0,156.0,,,55.00000000000001
34,2,"restudy",4,4,3.0,0.0,,,90.0
35,2,"restudy",3,3,3.0,0.0,,,65.0
36,2,"restudy",1,1,1.0,0.0,,,70.0
37,2,"restudy",3,4,2.0,175.0,,,60.0
38,2,"restudy",4,5,3.0,160.0,,,55.00000000000001
40,2,"restudy",4,3,3.0,0.0,,,70.0
41,1,"retrieval",4,4,2.0,214.0,70.0,90.0,100.0
42,1,"retrieval",4,4,3.0,120.0,50.0,70.0,85.0
43,1,"retrieval",5,5,3.0,300.0,65.0,75.0,95.0
44,1,"retrieval",4,3,4.0,135.0,30.0,40.0,70.0
45,1,"retrieval",2,1,1.0,170.0,40.0,55.0,75.0
46,1,"retrieval",4,1,2.0,103.0,50.0,70.0,90.0
47,1,"retrieval",5,3,3.0,86.0,35.0,50.0,65.0
48,1,"retrieval",5,5,4.0,300.0,60.0,80.0,95.0
49,1,"retrieval",3,4,2.0,34.0,65.0,80.0,85.0
50,1,"retrieval",4,3,2.0,264.0,40.0,80.0,100.0
51,1,"retrieval",4,3,3.0,290.0,20.0,35.0,50.0
52,1,"retrieval",4,3,3.0,300.0,10.0,45.0,60.0
53,2,"restudy",4,3,2.0,235.0,,,90.0
54,2,"restudy",5,3,2.0,11.0,,,90.0
55,2,"restudy",5,4,3.0,179.0,,,95.0
56,2,"restudy",4,2,3.0,16.0,,,90.0
57,2,"restudy",4,3,1.0,139.0,,,70.0
58,2,"restudy",5,3,4.0,81.0,,,85.0
59,2,"restudy",3,2,2.0,154.0,,,75.0
60,2,"restudy",4,1,4.0,66.0,,,100.0
61,2,"restudy",4,4,2.0,0.0,,,100.0
62,2,"restudy",5,4,3.0,145.0,,,85.0
63,2,"restudy",5,4,4.0,300.0,,,90.0
64,2,"restudy",4,1,2.0,260.0,,,80.0
